Reservoir_ID,Maximum_theoretical_wellbore_level_injectivity_t_per_month,Maximum_deployable_field_scale_injectivity_P50_t_per_month,Maximum_theoretical_wellbore_level_deliverability_t_per_month,Deployable_field-scale_seasonal_working_capacity_P50_t_H2,Cushion_gas_P50_t_H2,Cushion_to_working_ratio_P50
R01,"10,159,296.34","111,752,259.79","1,927,800.00","7,560,371.46","7,560,371.46",1
R02,"1,532,558.12", -   ,"1,177,200.00", -   ,"211,737.56", -   
R03,"997,485.41","2,992,456.23","737,100.00","2,142,763.82","2,142,763.82",1
R04,"602,879.19","602,879.19","469,800.00","896,780.65","1,574,607.99",1.76
R05,"394,278.08","1,577,112.30","383,400.00","4,119,577.37","5,840,720.03",1.42
R06,"385,145.43","385,145.43","315,900.00","925,686.44","41,296,245.76",44.61
R07,"376,919.59","376,919.59","364,500.00","929,459.96","5,313,599.21",5.72
R08,"346,113.82","692,227.64","337,500.00","1,909,656.40","15,232,454.13",7.98
R09,"344,513.80","689,027.61","334,800.00","1,442,049.58","1,442,049.58",1
R10,"317,221.05", -   ,"288,900.00", -   ,"3,727,393.51", -   
R11,"252,943.73","252,943.73","253,260.00","448,491.67","648,278.43",1.45
R12,"231,720.55","231,720.55","197,370.00","577,388.24","23,928,396.15",41.44
R13,"220,889.31","220,889.31","221,130.00","589,018.87","4,721,176.38",8.02
R14,"217,240.15", -   ,"211,140.00", -   ,"3,980,869.27", -   
R15,"196,484.69","196,484.69","179,550.00","413,373.22","1,371,863.85",3.32
R16,"196,177.70", -   ,"196,560.00", -   ,"18,685,712.89", -   
R17,"186,377.53","372,755.05","181,440.00","1,019,764.79","7,201,948.88",7.06
R18,"177,940.11","3,380,862.02","178,200.00","7,108,695.12","7,108,695.12",1
R19,"167,902.49","167,902.49","168,210.00","470,416.25","6,597,657.76",14.03
R20,"126,710.71","3,041,057.09","126,900.00","9,034,327.60","29,007,346.58",3.21
R21,"123,280.11", -   ,"123,390.00", -   ,"1,665,465.71", -   
R22,"103,533.17","207,066.34","103,680.00","532,696.76","1,335,874.53",2.51
R23,"101,409.05","507,045.26","101,520.00","1,453,266.78","5,094,856.95",3.51
R24,"93,230.70", -   ,"90,720.00", -   ,"2,356,024.67", -   
R25,"93,078.19","1,675,407.46","93,150.00","2,787,624.02","2,787,624.02",1
R26,"78,694.67","78,694.67","76,680.00","204,340.01","1,644,326.93",8.05
R27,"78,677.60","78,677.60","76,410.00","205,735.50","1,825,320.25",8.87
R28,"77,321.10", -   ,"77,490.00", -   ,"324,156.50", -   
R29,"69,878.31","69,878.31","69,930.00","184,213.84","1,341,482.74",7.28
R30,"69,539.97", -   ,"69,660.00", -   ,"649,937.84", -   
R31,"65,450.46","1,505,360.55","65,610.00","4,511,763.39","90,947,856.83",20.16
R32,"65,373.28","326,866.39","65,340.00","930,324.45","2,827,128.68",3.04
R33,"64,820.96", -   ,"64,800.00", -   ,"597,130.39", -   
R34,"57,953.19", -   ,"58,050.00", -   ,"1,827,950.17", -   
R35,"47,367.14","8,194,515.98","47,520.00","21,971,011.85","233,490,146.73",9.49
R36,"41,652.04", -   ,"41,580.00", -   ,"6,187,387.92", -   
R37,"37,581.39","263,069.74","37,530.00","770,493.27","4,452,873.80",5.78
R38,"35,133.93", -   ,"35,100.00", -   ,"29,854.33", -   
R39,"23,247.37","23,247.37","23,274.00","66,377.67","1,314,740.23",19.81
R40,"16,457.86", -   ,"16,470.00", -   ,"1,649,014.16", -   
R41,"13,664.18","68,320.90","13,689.00","203,033.34","3,903,152.07",19.22
R42,"8,222.99", -   ,"8,424.00", -   ,"3,777,763.69", -   
R43,"8,178.40","16,356.81","8,181.00","48,902.52","10,106,376.22",206.66
R44,"6,921.65","48,451.55","6,939.00","145,192.98","8,953,936.78",61.67
R45,"3,944.41","27,610.84","3,942.00","82,584.25","11,080,098.15",134.17
R46,"3,006.85","15,034.27","3,024.00","45,190.54","3,711,693.90",82.13
R47,"2,314.38","2,314.38","2,316.60","6,862.55","603,875.92",88
R48,444.17,444.17,445.5,"1,334.50","8,122,888.50","6,086.85"
R49,380.99,380.99,380.7,"1,140.24","3,827,440.47","3,356.70"
R50,113.76, -   ,113.94, -   ,"271,267.85", -   
